,index,start,end,text,speaker,speaker_confidence,version_country,version_season,season,episode,episode_id,subtitle_index,start_time,end_time,speaker_label,subtitle_text,word_count
73,74,270.336,272.338,"this group met for
the first time",SPEAKER_06,2.0020000000000095,US,US01,1,1,S01E01,74,270.336,272.338,SPEAKER_06,"this group met for
the first time",7
74,75,272.338,275.341,"in a small fishing village
on the coast of Borneo.",SPEAKER_06,3.002999999999986,US,US01,1,1,S01E01,75,272.338,275.341,SPEAKER_06,"in a small fishing village
on the coast of Borneo.",10
75,76,275.341,277.343,"Their minds racing
with questions,",SPEAKER_06,2.0020000000000095,US,US01,1,1,S01E01,76,275.341,277.343,SPEAKER_06,"Their minds racing
with questions,",5
76,77,277.343,279.846,"wondering, ""Can I do this?""",SPEAKER_06,2.502999999999986,US,US01,1,1,S01E01,77,277.343,279.846,SPEAKER_06,"wondering, ""Can I do this?""",5
77,78,283.149,286.052,"This is more than just a
test of survival skills.",SPEAKER_06,2.453531250000026,US,US01,1,1,S01E01,78,283.149,286.052,SPEAKER_06,"This is more than just a
test of survival skills.",10
78,79,286.552,288.554,"It's also a test
of social skills.",SPEAKER_06,2.0019999999999527,US,US01,1,1,S01E01,79,286.552,288.554,SPEAKER_06,"It's also a test
of social skills.",7
79,80,289.055,292.458,"Here, it's the impressions you
make on the other castaways",SPEAKER_06,3.40300000000002,US,US01,1,1,S01E01,80,289.055,292.458,SPEAKER_06,"Here, it's the impressions you
make on the other castaways",10
80,81,292.458,294.46,that determines your fate.,SPEAKER_06,2.0019999999999527,US,US01,1,1,S01E01,81,292.458,294.46,SPEAKER_06,that determines your fate.,4
81,82,294.46,297.363,"Under the rules, one tribe
must visit Tribal Council",SPEAKER_06,2.90300000000002,US,US01,1,1,S01E01,82,294.46,297.363,SPEAKER_06,"Under the rules, one tribe
must visit Tribal Council",9
82,83,297.664,299.165,"every three days with
a single purpose:",SPEAKER_06,1.5010000000000332,US,US01,1,1,S01E01,83,297.664,299.165,SPEAKER_06,"every three days with
a single purpose:",7
83,84,299.565,303.069,"vote one of their own
members off the island.",SPEAKER_06,3.203468750000013,US,US01,1,1,S01E01,84,299.565,303.069,SPEAKER_06,"vote one of their own
members off the island.",9
84,85,303.069,305.571,"To win, you must
survive the island,",SPEAKER_06,1.0981562499999882,US,US01,1,1,S01E01,85,303.069,305.571,SPEAKER_06,"To win, you must
survive the island,",7
85,86,305.872,307.373,"survive the vote,",SPEAKER_06,0.8582812499999477,US,US01,1,1,S01E01,86,305.872,307.373,SPEAKER_06,"survive the vote,",3
86,87,307.473,309.375,"and, ultimately,
survive each other.",SPEAKER_06,1.2234062499999823,US,US01,1,1,S01E01,87,307.473,309.375,SPEAKER_06,"and, ultimately,
survive each other.",5
87,88,309.876,310.877,Whoo!,SPEAKER_06,0.5199687500000323,US,US01,1,1,S01E01,88,309.876,310.877,SPEAKER_06,Whoo!,1
88,89,310.877,312.879,I'm giving you a degree--,UNKNOWN,0.0,US,US01,1,1,S01E01,89,310.877,312.879,UNKNOWN,I'm giving you a degree--,5
89,90,313.379,314.881,a university honorary degree.,SPEAKER_13,0.30374999999997954,US,US01,1,1,S01E01,90,313.379,314.881,SPEAKER_13,a university honorary degree.,4
90,91,314.881,316.883,Whoo!,SPEAKER_13,0.8606250000000273,US,US01,1,1,S01E01,91,314.881,316.883,SPEAKER_13,Whoo!,1
91,92,316.883,318.384,"Damn, when you guys get up,",UNKNOWN,0.0,US,US01,1,1,S01E01,92,316.883,318.384,UNKNOWN,"Damn, when you guys get up,",6
92,93,318.384,319.886,now the whole thing goes...,SPEAKER_11,1.221281250000004,US,US01,1,1,S01E01,93,318.384,319.886,SPEAKER_11,now the whole thing goes...,5
93,94,319.886,321.387,Whoa! Watch out!,SPEAKER_11,0.0843749999999659,US,US01,1,1,S01E01,94,319.886,321.387,SPEAKER_11,Whoa! Watch out!,3
94,95,322.388,323.389,Here we go.,UNKNOWN,0.0,US,US01,1,1,S01E01,95,322.388,323.389,UNKNOWN,Here we go.,3
95,96,323.89,326.392,"We got a great view
of Snake Island!",SPEAKER_09,2.5020000000000095,US,US01,1,1,S01E01,96,323.89,326.392,SPEAKER_09,"We got a great view
of Snake Island!",8
96,97,326.392,327.894,Get to work.,SPEAKER_09,1.5020000000000095,US,US01,1,1,S01E01,97,326.392,327.894,SPEAKER_09,Get to work.,3
97,98,327.894,329.896,We got oars. We got buckets.,SPEAKER_09,2.0020000000000095,US,US01,1,1,S01E01,98,327.894,329.896,SPEAKER_09,We got oars. We got buckets.,6
98,99,330.096,331.597,We're set for months.,SPEAKER_18,1.5009999999999764,US,US01,1,1,S01E01,99,330.096,331.597,SPEAKER_18,We're set for months.,4
99,100,331.998,335.001,"Hey, who knows, we could
make a mud house with it.",SPEAKER_18,3.002999999999986,US,US01,1,1,S01E01,100,331.998,335.001,SPEAKER_18,"Hey, who knows, we could
make a mud house with it.",11
100,101,335.301,336.803,"You know, that could
be like rebar.",SPEAKER_18,1.5020000000000095,US,US01,1,1,S01E01,101,335.301,336.803,SPEAKER_18,"You know, that could
be like rebar.",7
101,102,337.303,339.806,"RUDY: Paddling over, we had
two or three of those boxes",SPEAKER_26,2.502999999999986,US,US01,1,1,S01E01,102,337.303,339.806,SPEAKER_26,"RUDY: Paddling over, we had
two or three of those boxes",11
102,103,339.806,340.807,"in the water,",SPEAKER_26,1.0010000000000332,US,US01,1,1,S01E01,103,339.806,340.807,SPEAKER_26,"in the water,",3
103,104,341.307,343.81,dragging them behind the raft,SPEAKER_26,1.6914687500000127,US,US01,1,1,S01E01,104,341.307,343.81,SPEAKER_26,dragging them behind the raft,5
104,105,343.81,345.311,and that is dumb.,SPEAKER_26,0.4203437500000291,US,US01,1,1,S01E01,105,343.81,345.311,SPEAKER_26,and that is dumb.,4
105,106,345.311,347.313,"I said, ""Let's get
them boxes aboard.",SPEAKER_26,2.0020000000000095,US,US01,1,1,S01E01,106,345.311,347.313,SPEAKER_26,"I said, ""Let's get
them boxes aboard.",7
106,107,347.313,348.815,"It'll be a lot easier.""",SPEAKER_26,1.5020000000000095,US,US01,1,1,S01E01,107,347.313,348.815,SPEAKER_26,"It'll be a lot easier.""",5
107,108,348.815,350.817,"You know, ""That's
deadweight you got.""",SPEAKER_26,2.0020000000000095,US,US01,1,1,S01E01,108,348.815,350.817,SPEAKER_26,"You know, ""That's
deadweight you got.""",6
108,109,351.217,353.219,"KELLY: He was yelling
at everybody",SPEAKER_19,1.5636562499999513,US,US01,1,1,S01E01,109,351.217,353.219,SPEAKER_19,"KELLY: He was yelling
at everybody",6
109,110,353.219,354.721,"""Let's lose the box!",SPEAKER_19,1.5020000000000095,US,US01,1,1,S01E01,110,353.219,354.721,SPEAKER_19,"""Let's lose the box!",4
110,111,354.721,356.723,"Cut it loose now!""",SPEAKER_19,2.0020000000000095,US,US01,1,1,S01E01,111,354.721,356.723,SPEAKER_19,"Cut it loose now!""",4
111,112,356.723,359.225,"He may be 72 years old
and an ex-Navy SEAL,",SPEAKER_19,2.5020000000000095,US,US01,1,1,S01E01,112,356.723,359.225,SPEAKER_19,"He may be 72 years old
and an ex-Navy SEAL,",10
112,113,359.225,362.228,"but that doesn't mean
that this is his world.",SPEAKER_19,2.926593749999995,US,US01,1,1,S01E01,113,359.225,362.228,SPEAKER_19,"but that doesn't mean
that this is his world.",9
113,114,362.228,365.231,"RICHARD: Rudy, Sean, Stacey,
Sue, can we take 15 minutes",SPEAKER_05,2.7250312499999723,US,US01,1,1,S01E01,114,362.228,365.231,SPEAKER_05,"RICHARD: Rudy, Sean, Stacey,
Sue, can we take 15 minutes",10
114,115,365.231,367.233,"and just talk before
we do anything?",SPEAKER_05,2.0020000000000095,US,US01,1,1,S01E01,115,365.231,367.233,SPEAKER_05,"and just talk before
we do anything?",7
115,116,367.233,368.735,Sure.,SPEAKER_05,1.5020000000000095,US,US01,1,1,S01E01,116,367.233,368.735,SPEAKER_05,Sure.,1
116,117,368.735,369.736,Can we piss first?,SPEAKER_11,0.7837812499999472,US,US01,1,1,S01E01,117,368.735,369.736,SPEAKER_11,Can we piss first?,4
117,118,370.236,372.238,Just a suggestion.,SPEAKER_11,2.0020000000000095,US,US01,1,1,S01E01,118,370.236,372.238,SPEAKER_11,Just a suggestion.,3
118,119,378.845,379.846,Should we take a break?,SPEAKER_05,0.3806562499999586,US,US01,1,1,S01E01,119,378.845,379.846,SPEAKER_05,Should we take a break?,5
119,120,379.846,381.347,"No, keep paddling!",SPEAKER_05,1.424968750000005,US,US01,1,1,S01E01,120,379.846,381.347,SPEAKER_05,"No, keep paddling!",3
120,121,381.547,383.049,One break at a time!,SPEAKER_00,1.5019999999999527,US,US01,1,1,S01E01,121,381.547,383.049,SPEAKER_00,One break at a time!,5
121,122,383.049,385.051,One water break at a time.,SPEAKER_00,2.0020000000000095,US,US01,1,1,S01E01,122,383.049,385.051,SPEAKER_00,One water break at a time.,6
122,123,385.551,387.053,"We want to get
closer to the island",SPEAKER_05,1.5020000000000095,US,US01,1,1,S01E01,123,385.551,387.053,SPEAKER_05,"We want to get
closer to the island",8
123,124,387.553,388.554,before we turn up.,SPEAKER_00,1.0009999999999764,US,US01,1,1,S01E01,124,387.553,388.554,SPEAKER_00,before we turn up.,4
124,125,388.554,389.956,"I'll distill you all
the water you want,",SPEAKER_00,1.4020000000000437,US,US01,1,1,S01E01,125,388.554,389.956,SPEAKER_00,"I'll distill you all
the water you want,",8
125,126,390.456,391.457,just get me to the island.,SPEAKER_00,1.0009999999999764,US,US01,1,1,S01E01,126,390.456,391.457,SPEAKER_00,just get me to the island.,6
126,127,391.958,394.06,"You guys, we are so close.",SPEAKER_17,1.6684062499999754,US,US01,1,1,S01E01,127,391.958,394.06,SPEAKER_17,"You guys, we are so close.",6
127,128,394.06,395.561,"Keep going, we're there.",SPEAKER_00,1.1781562499999723,US,US01,1,1,S01E01,128,394.06,395.561,SPEAKER_00,"Keep going, we're there.",4
128,129,395.561,397.563,(retching noise),SPEAKER_00,0.47559375000003,US,US01,1,1,S01E01,129,395.561,397.563,SPEAKER_00,(retching noise),2
129,130,397.563,399.565,You all right?,SPEAKER_17,1.1659062499999777,US,US01,1,1,S01E01,130,397.563,399.565,SPEAKER_17,You all right?,3
130,131,399.766,401.267,"We're almost there,
Roe, hang in.",SPEAKER_17,1.2149687500000255,US,US01,1,1,S01E01,131,399.766,401.267,SPEAKER_17,"We're almost there,
Roe, hang in.",6
131,132,401.768,402.268,Okay.,SPEAKER_17,0.4264062499999568,US,US01,1,1,S01E01,132,401.768,402.268,SPEAKER_17,Okay.,1
132,133,402.769,404.27,Got it going right over here.,SPEAKER_17,1.1650937500000396,US,US01,1,1,S01E01,133,402.769,404.27,SPEAKER_17,Got it going right over here.,6
133,134,404.37,405.872,"Straight ahead of us.
Where'd he point?",SPEAKER_17,0.6075000000000159,US,US01,1,1,S01E01,134,404.37,405.872,SPEAKER_17,"Straight ahead of us.
Where'd he point?",7
134,135,405.872,407.573,"Right there.
Straight up there.",SPEAKER_17,1.0739062499999363,US,US01,1,1,S01E01,135,405.872,407.573,SPEAKER_17,"Right there.
Straight up there.",5
135,136,412.378,414.881,Whoo! And we're all here.,UNKNOWN,0.0,US,US01,1,1,S01E01,136,412.378,414.881,UNKNOWN,Whoo! And we're all here.,5
136,137,414.881,416.382,Let's go.,SPEAKER_11,0.5062499999999659,US,US01,1,1,S01E01,137,414.881,416.382,SPEAKER_11,Let's go.,2
137,138,418.384,419.886,Yeah!,UNKNOWN,0.0,US,US01,1,1,S01E01,138,418.384,419.886,UNKNOWN,Yeah!,1
138,139,419.886,422.889,Whoo-hoo!,SPEAKER_11,0.10124999999999318,US,US01,1,1,S01E01,139,419.886,422.889,SPEAKER_11,Whoo-hoo!,1
139,140,422.889,424.39,"This is what I was
talking about!",SPEAKER_07,0.89778124999998,US,US01,1,1,S01E01,140,422.889,424.39,SPEAKER_07,"This is what I was
talking about!",7
140,141,427.093,430.596,"Ramona, how you doing, honey?",SPEAKER_19,1.6200000000000045,US,US01,1,1,S01E01,141,427.093,430.596,SPEAKER_19,"Ramona, how you doing, honey?",5
141,142,430.596,436.102,"RAMONA: I don't like being
on the water all that much.",SPEAKER_21,3.750406249999969,US,US01,1,1,S01E01,142,430.596,436.102,SPEAKER_21,"RAMONA: I don't like being
on the water all that much.",11
142,143,436.102,439.105,"So, I mean, the whole
motion like this,",SPEAKER_21,3.0030000000000427,US,US01,1,1,S01E01,143,436.102,439.105,SPEAKER_21,"So, I mean, the whole
motion like this,",8
143,144,439.105,440.106,"and we're rowing,",SPEAKER_21,1.0009999999999764,US,US01,1,1,S01E01,144,439.105,440.106,SPEAKER_21,"and we're rowing,",3
144,145,440.606,443.109,"and we have like 100 pounds
of stuff on the raft,",SPEAKER_21,2.502999999999986,US,US01,1,1,S01E01,145,440.606,443.109,SPEAKER_21,"and we have like 100 pounds
of stuff on the raft,",11
145,146,443.109,445.111,"I just, I started heaving.",SPEAKER_21,1.4025312499999814,US,US01,1,1,S01E01,146,443.109,445.111,SPEAKER_21,"I just, I started heaving.",5
146,147,445.611,447.113,Good job. Good job.,SPEAKER_21,1.5020000000000095,US,US01,1,1,S01E01,147,445.611,447.113,SPEAKER_21,Good job. Good job.,4
147,148,447.613,451.117,"RAMONA: I'm used to being in
a lab with my lab coat on,",SPEAKER_21,3.504000000000019,US,US01,1,1,S01E01,148,447.613,451.117,SPEAKER_21,"RAMONA: I'm used to being in
a lab with my lab coat on,",13
148,149,451.117,454.12,in the air-conditioning.,SPEAKER_21,3.002999999999986,US,US01,1,1,S01E01,149,451.117,454.12,SPEAKER_21,in the air-conditioning.,3
149,150,454.32,456.823,"But this is, like,
outdoors, 24-7,",SPEAKER_21,2.502999999999986,US,US01,1,1,S01E01,150,454.32,456.823,SPEAKER_21,"But this is, like,
outdoors, 24-7,",6
150,151,456.823,461.327,"and you're exerting energy,
like, almost all of that time.",SPEAKER_21,4.504000000000019,US,US01,1,1,S01E01,151,456.823,461.327,SPEAKER_21,"and you're exerting energy,
like, almost all of that time.",10
